SRA Accession,species,Data type
SRR1213142,Chlamydomonas reinhardtii,RNA-seq
SRR1213143,Chlamydomonas reinhardtii,RNA-seq
SRR1213144,Chlamydomonas reinhardtii,RNA-seq
SRR1213145,Chlamydomonas reinhardtii,RNA-seq
SRR1213146,Chlamydomonas reinhardtii,RNA-seq
SRR12187368,Chlamydomonas reinhardtii,RNA-seq
SRR12187369,Chlamydomonas reinhardtii,RNA-seq
SRR12187370,Chlamydomonas reinhardtii,RNA-seq
SRR12187371,Chlamydomonas reinhardtii,RNA-seq
SRR12187372,Chlamydomonas reinhardtii,RNA-seq
SRR12187373,Chlamydomonas reinhardtii,RNA-seq
SRR12187374,Chlamydomonas reinhardtii,RNA-seq
SRR12187375,Chlamydomonas reinhardtii,RNA-seq
SRR12187376,Chlamydomonas reinhardtii,RNA-seq
SRR12187377,Chlamydomonas reinhardtii,RNA-seq
SRR12187378,Chlamydomonas reinhardtii,RNA-seq
SRR12187379,Chlamydomonas reinhardtii,RNA-seq
SRR12187380,Chlamydomonas reinhardtii,RNA-seq
SRR12187381,Chlamydomonas reinhardtii,RNA-seq
SRR12187382,Chlamydomonas reinhardtii,RNA-seq
SRR12187383,Chlamydomonas reinhardtii,RNA-seq
SRR12187384,Chlamydomonas reinhardtii,RNA-seq
SRR12187385,Chlamydomonas reinhardtii,RNA-seq
SRR12334097,Chlamydomonas reinhardtii,RNA-seq
SRR12334098,Chlamydomonas reinhardtii,RNA-seq
SRR12334099,Chlamydomonas reinhardtii,RNA-seq
SRR12334100,Chlamydomonas reinhardtii,RNA-seq
SRR12334101,Chlamydomonas reinhardtii,RNA-seq
SRR12334102,Chlamydomonas reinhardtii,RNA-seq
SRR12334103,Chlamydomonas reinhardtii,RNA-seq
SRR12334104,Chlamydomonas reinhardtii,RNA-seq
SRR12334105,Chlamydomonas reinhardtii,RNA-seq
SRR12517267,Chlamydomonas reinhardtii,RNA-seq
SRR12517268,Chlamydomonas reinhardtii,RNA-seq
SRR12517269,Chlamydomonas reinhardtii,RNA-seq
SRR12517270,Chlamydomonas reinhardtii,RNA-seq
SRR12604023,Chlamydomonas reinhardtii,RNA-seq
SRR12604024,Chlamydomonas reinhardtii,RNA-seq
SRR12604025,Chlamydomonas reinhardtii,RNA-seq
SRR12604026,Chlamydomonas reinhardtii,RNA-seq
SRR12604027,Chlamydomonas reinhardtii,RNA-seq
SRR12604028,Chlamydomonas reinhardtii,RNA-seq
SRR12604029,Chlamydomonas reinhardtii,RNA-seq
SRR12604030,Chlamydomonas reinhardtii,RNA-seq
SRR12604031,Chlamydomonas reinhardtii,RNA-seq
SRR1296772,Chlamydomonas reinhardtii,RNA-seq
SRR13059754,Chlamydomonas reinhardtii,RNA-seq
SRR13059755,Chlamydomonas reinhardtii,RNA-seq
SRR13059756,Chlamydomonas reinhardtii,RNA-seq
SRR13059757,Chlamydomonas reinhardtii,RNA-seq
SRR13059758,Chlamydomonas reinhardtii,RNA-seq
SRR13059759,Chlamydomonas reinhardtii,RNA-seq
SRR13355904,Chlamydomonas reinhardtii,RNA-seq
SRR13355905,Chlamydomonas reinhardtii,RNA-seq
